LSiSi/LNaNa,LSiSi/LHH,log_a,log_b
b,c,1.27,1.9700000000000002
b,c,1.27,1.98
b,c,1.27,1.9900000000000002
b,c,1.27,2.0
b,c,1.2799999999999998,1.5499999999999998
b,c,1.2799999999999998,1.56
b,c,1.2799999999999998,1.5699999999999998
b,c,1.2799999999999998,1.58
b,c,1.2799999999999998,1.5899999999999999
b,c,1.2799999999999998,1.6
b,c,1.2799999999999998,1.6099999999999999
b,c,1.2799999999999998,1.62
b,c,1.2799999999999998,1.63
b,c,1.2799999999999998,1.6400000000000001
b,c,1.2799999999999998,1.65
b,c,1.2799999999999998,1.6600000000000001
b,c,1.2799999999999998,1.67
b,c,1.2799999999999998,1.6800000000000002
b,c,1.2799999999999998,1.69
b,c,1.2799999999999998,1.7000000000000002
b,c,1.2799999999999998,1.71
b,c,1.2799999999999998,1.7200000000000002
b,c,1.2799999999999998,1.73
b,c,1.2799999999999998,1.7400000000000002
b,c,1.2799999999999998,1.75
b,c,1.2799999999999998,1.7599999999999998
b,c,1.2799999999999998,1.77
b,c,1.2799999999999998,1.7799999999999998
b,c,1.2799999999999998,1.79
b,c,1.2799999999999998,1.7999999999999998
b,c,1.2799999999999998,1.81
b,c,1.2799999999999998,1.8199999999999998
b,c,1.2799999999999998,1.83
b,c,1.2799999999999998,1.8399999999999999
b,c,1.2799999999999998,1.85
b,c,1.2799999999999998,1.8599999999999999
b,c,1.2799999999999998,1.87
b,c,1.2799999999999998,1.88
b,c,1.2799999999999998,1.8900000000000001
b,c,1.2799999999999998,1.9
b,c,1.2799999999999998,1.9100000000000001
b,c,1.2799999999999998,1.92
b,c,1.2799999999999998,1.9300000000000002
b,c,1.2799999999999998,1.94
b,c,1.2799999999999998,1.9500000000000002
b,c,1.2799999999999998,1.96
b,c,1.2799999999999998,1.9700000000000002
b,c,1.2799999999999998,1.98
b,c,1.2799999999999998,1.9900000000000002
b,c,1.2799999999999998,2.0
b,c,1.29,1.52
b,c,1.29,1.5299999999999998
b,c,1.29,1.54
b,c,1.29,1.5499999999999998
b,c,1.29,1.56
b,c,1.29,1.5699999999999998
b,c,1.29,1.58
b,c,1.29,1.5899999999999999
b,c,1.29,1.6
b,c,1.29,1.6099999999999999
b,c,1.29,1.62
b,c,1.29,1.63
b,c,1.29,1.6400000000000001
b,c,1.29,1.65
b,c,1.29,1.6600000000000001
b,c,1.29,1.67
b,c,1.29,1.6800000000000002
b,c,1.29,1.69
b,c,1.29,1.7000000000000002
b,c,1.29,1.71
b,c,1.29,1.7200000000000002
b,c,1.29,1.73
b,c,1.29,1.7400000000000002
b,c,1.29,1.75
b,c,1.29,1.7599999999999998
b,c,1.29,1.77
b,c,1.29,1.7799999999999998
b,c,1.29,1.79
b,c,1.29,1.7999999999999998
b,c,1.29,1.81
b,c,1.29,1.8199999999999998
b,c,1.29,1.83
b,c,1.29,1.8399999999999999
b,c,1.29,1.85
b,c,1.29,1.8599999999999999
b,c,1.29,1.87
b,c,1.29,1.88
b,c,1.29,1.8900000000000001
b,c,1.29,1.9
b,c,1.29,1.9100000000000001
b,c,1.29,1.92
b,c,1.29,1.9300000000000002
b,c,1.29,1.94
b,c,1.29,1.9500000000000002
b,c,1.29,1.96
b,c,1.29,1.9700000000000002
b,c,1.29,1.98
b,c,1.29,1.9900000000000002
b,c,1.29,2.0
b,c,1.2999999999999998,1.4900000000000002
b,c,1.2999999999999998,1.5
b,c,1.2999999999999998,1.5099999999999998
b,c,1.2999999999999998,1.52
b,c,1.2999999999999998,1.5299999999999998
b,c,1.2999999999999998,1.54
b,c,1.2999999999999998,1.5499999999999998
b,c,1.2999999999999998,1.56
b,c,1.2999999999999998,1.5699999999999998
b,c,1.2999999999999998,1.58
b,c,1.2999999999999998,1.5899999999999999
b,c,1.2999999999999998,1.6
b,c,1.2999999999999998,1.6099999999999999
b,c,1.2999999999999998,1.62
b,c,1.2999999999999998,1.63
b,c,1.2999999999999998,1.6400000000000001
b,c,1.2999999999999998,1.65
b,c,1.2999999999999998,1.6600000000000001
b,c,1.2999999999999998,1.67
b,c,1.2999999999999998,1.6800000000000002
b,c,1.2999999999999998,1.69
b,c,1.2999999999999998,1.7000000000000002
b,c,1.2999999999999998,1.71
b,c,1.2999999999999998,1.7200000000000002
b,c,1.2999999999999998,1.73
b,c,1.2999999999999998,1.7400000000000002
b,c,1.2999999999999998,1.75
b,c,1.2999999999999998,1.7599999999999998
b,c,1.2999999999999998,1.77
b,c,1.2999999999999998,1.7799999999999998
b,c,1.2999999999999998,1.79
b,c,1.2999999999999998,1.7999999999999998
b,c,1.2999999999999998,1.81
b,c,1.2999999999999998,1.8199999999999998
b,c,1.2999999999999998,1.83
b,c,1.2999999999999998,1.8399999999999999
b,c,1.2999999999999998,1.85
b,c,1.2999999999999998,1.8599999999999999
b,c,1.2999999999999998,1.87
b,c,1.2999999999999998,1.88
b,c,1.2999999999999998,1.8900000000000001
b,c,1.2999999999999998,1.9
b,c,1.2999999999999998,1.9100000000000001
b,c,1.2999999999999998,1.92
b,c,1.2999999999999998,1.9300000000000002
b,c,1.2999999999999998,1.94
b,c,1.2999999999999998,1.9500000000000002
b,c,1.2999999999999998,1.96
b,c,1.2999999999999998,1.9700000000000002
b,c,1.2999999999999998,1.98
b,c,1.2999999999999998,1.9900000000000002
b,c,1.2999999999999998,2.0
b,c,1.31,1.46
b,c,1.31,1.4700000000000002
b,c,1.31,1.48
b,c,1.31,1.4900000000000002
b,c,1.31,1.5
b,c,1.31,1.5099999999999998
b,c,1.31,1.52
b,c,1.31,1.5299999999999998
b,c,1.31,1.54
b,c,1.31,1.5499999999999998
b,c,1.31,1.56
b,c,1.31,1.5699999999999998
b,c,1.31,1.58
b,c,1.31,1.5899999999999999
b,c,1.31,1.6
b,c,1.31,1.6099999999999999
b,c,1.31,1.62
b,c,1.31,1.63
b,c,1.31,1.6400000000000001
b,c,1.31,1.65
b,c,1.31,1.6600000000000001
b,c,1.31,1.67
b,c,1.31,1.6800000000000002
b,c,1.31,1.69
b,c,1.31,1.7000000000000002
b,c,1.31,1.71
b,c,1.31,1.7200000000000002
b,c,1.31,1.73
b,c,1.31,1.7400000000000002
b,c,1.31,1.75
b,c,1.31,1.7599999999999998
b,c,1.31,1.77
b,c,1.31,1.7799999999999998
b,c,1.31,1.79
b,c,1.31,1.7999999999999998
b,c,1.31,1.81
b,c,1.31,1.8199999999999998
b,c,1.31,1.83
b,c,1.31,1.8399999999999999
b,c,1.31,1.85
b,c,1.31,1.8599999999999999
b,c,1.31,1.87
b,c,1.31,1.88
b,c,1.31,1.8900000000000001
b,c,1.31,1.9
b,c,1.31,1.9100000000000001
b,c,1.31,1.92
b,c,1.31,1.9300000000000002
b,c,1.31,1.94
b,c,1.31,1.9500000000000002
b,c,1.31,1.96
b,c,1.31,1.9700000000000002
b,c,1.31,1.98
b,c,1.31,1.9900000000000002
b,c,1.31,2.0
b,c,1.3199999999999998,1.44
b,c,1.3199999999999998,1.4500000000000002
b,c,1.3199999999999998,1.46
b,c,1.3199999999999998,1.4700000000000002
b,c,1.3199999999999998,1.48
b,c,1.3199999999999998,1.4900000000000002
b,c,1.3199999999999998,1.5
b,c,1.3199999999999998,1.5099999999999998
b,c,1.3199999999999998,1.52
b,c,1.3199999999999998,1.5299999999999998
b,c,1.3199999999999998,1.54
b,c,1.3199999999999998,1.5499999999999998
b,c,1.3199999999999998,1.56
b,c,1.3199999999999998,1.5699999999999998
b,c,1.3199999999999998,1.58
b,c,1.3199999999999998,1.5899999999999999
b,c,1.3199999999999998,1.6
b,c,1.3199999999999998,1.6099999999999999
b,c,1.3199999999999998,1.62
b,c,1.3199999999999998,1.63
b,c,1.3199999999999998,1.6400000000000001
b,c,1.3199999999999998,1.65
b,c,1.3199999999999998,1.6600000000000001
b,c,1.3199999999999998,1.67
b,c,1.3199999999999998,1.6800000000000002
b,c,1.3199999999999998,1.69
b,c,1.3199999999999998,1.7000000000000002
b,c,1.3199999999999998,1.71
b,c,1.3199999999999998,1.7200000000000002
b,c,1.3199999999999998,1.73
b,c,1.3199999999999998,1.7400000000000002
b,c,1.3199999999999998,1.75
b,c,1.3199999999999998,1.7599999999999998
b,c,1.3199999999999998,1.77
b,c,1.3199999999999998,1.7799999999999998
b,c,1.3199999999999998,1.79
b,c,1.3199999999999998,1.7999999999999998
b,c,1.3199999999999998,1.81
b,c,1.3199999999999998,1.8199999999999998
b,c,1.3199999999999998,1.83
b,c,1.3199999999999998,1.8399999999999999
b,c,1.3199999999999998,1.85
b,c,1.3199999999999998,1.8599999999999999
b,c,1.3199999999999998,1.87
b,c,1.3199999999999998,1.88
b,c,1.3199999999999998,1.8900000000000001
b,c,1.3199999999999998,1.9
b,c,1.3199999999999998,1.9100000000000001
b,c,1.3199999999999998,1.92
b,c,1.3199999999999998,1.9300000000000002
b,c,1.3199999999999998,1.94
b,c,1.3199999999999998,1.9500000000000002
b,c,1.3199999999999998,1.96
b,c,1.3199999999999998,1.9700000000000002
b,c,1.3199999999999998,1.98
b,c,1.3199999999999998,1.9900000000000002
b,c,1.3199999999999998,2.0
b,c,1.33,1.4100000000000001
b,c,1.33,1.42
b,c,1.33,1.4300000000000002
b,c,1.33,1.44
b,c,1.33,1.4500000000000002
b,c,1.33,1.46
b,c,1.33,1.4700000000000002
b,c,1.33,1.48
b,c,1.33,1.4900000000000002
b,c,1.33,1.5
b,c,1.33,1.5099999999999998
b,c,1.33,1.52
b,c,1.33,1.5299999999999998
b,c,1.33,1.54
b,c,1.33,1.5499999999999998
b,c,1.33,1.56
b,c,1.33,1.5699999999999998
b,c,1.33,1.58
b,c,1.33,1.5899999999999999
b,c,1.33,1.6
b,c,1.33,1.6099999999999999
b,c,1.33,1.62
b,c,1.33,1.63
b,c,1.33,1.6400000000000001
b,c,1.33,1.65
b,c,1.33,1.6600000000000001
b,c,1.33,1.67
b,c,1.33,1.6800000000000002
b,c,1.33,1.69
b,c,1.33,1.7000000000000002
b,c,1.33,1.71
b,c,1.33,1.7200000000000002
b,c,1.33,1.73
b,c,1.33,1.7400000000000002
b,c,1.33,1.75
b,c,1.33,1.7599999999999998
b,c,1.33,1.77
b,c,1.33,1.7799999999999998
b,c,1.33,1.79
b,c,1.33,1.7999999999999998
b,c,1.33,1.81
b,c,1.33,1.8199999999999998
b,c,1.33,1.83
b,c,1.33,1.8399999999999999
b,c,1.33,1.85
b,c,1.33,1.8599999999999999
b,c,1.33,1.87
b,c,1.33,1.88
b,c,1.33,1.8900000000000001
b,c,1.33,1.9
b,c,1.33,1.9100000000000001
b,c,1.33,1.92
b,c,1.33,1.9300000000000002
b,c,1.33,1.94
b,c,1.33,1.9500000000000002
b,c,1.33,1.96
b,c,1.33,1.9700000000000002
b,c,1.33,1.98
b,c,1.33,1.9900000000000002
b,c,1.33,2.0
b,c,1.3399999999999999,1.3900000000000001
b,c,1.3399999999999999,1.4
b,c,1.3399999999999999,1.4100000000000001
b,c,1.3399999999999999,1.42
b,c,1.3399999999999999,1.4300000000000002
b,c,1.3399999999999999,1.44
b,c,1.3399999999999999,1.4500000000000002
b,c,1.3399999999999999,1.46
b,c,1.3399999999999999,1.4700000000000002
b,c,1.3399999999999999,1.48
b,c,1.3399999999999999,1.4900000000000002
b,c,1.3399999999999999,1.5
b,c,1.3399999999999999,1.5099999999999998
b,c,1.3399999999999999,1.52
b,c,1.3399999999999999,1.5299999999999998
b,c,1.3399999999999999,1.54
b,c,1.3399999999999999,1.5499999999999998
b,c,1.3399999999999999,1.56
b,c,1.3399999999999999,1.5699999999999998
b,c,1.3399999999999999,1.58
b,c,1.3399999999999999,1.5899999999999999
b,c,1.3399999999999999,1.6
b,c,1.3399999999999999,1.6099999999999999
b,c,1.3399999999999999,1.62
b,c,1.3399999999999999,1.63
b,c,1.3399999999999999,1.6400000000000001
b,c,1.3399999999999999,1.65
b,c,1.3399999999999999,1.6600000000000001
b,c,1.3399999999999999,1.67
b,c,1.3399999999999999,1.6800000000000002
b,c,1.3399999999999999,1.69
b,c,1.3399999999999999,1.7000000000000002
b,c,1.3399999999999999,1.71
b,c,1.3399999999999999,1.7200000000000002
b,c,1.3399999999999999,1.73
b,c,1.3399999999999999,1.7400000000000002
b,c,1.3399999999999999,1.75
b,c,1.3399999999999999,1.7599999999999998
b,c,1.3399999999999999,1.77
b,c,1.3399999999999999,1.7799999999999998
b,c,1.3399999999999999,1.79
b,c,1.3399999999999999,1.7999999999999998
b,c,1.3399999999999999,1.81
b,c,1.3399999999999999,1.8199999999999998
b,c,1.3399999999999999,1.83
b,c,1.3399999999999999,1.8399999999999999
b,c,1.3399999999999999,1.85
b,c,1.3399999999999999,1.8599999999999999
b,c,1.3399999999999999,1.87
b,c,1.3399999999999999,1.88
b,c,1.3399999999999999,1.8900000000000001
b,c,1.3399999999999999,1.9
b,c,1.3399999999999999,1.9100000000000001
b,c,1.3399999999999999,1.92
b,c,1.3399999999999999,1.9300000000000002
b,c,1.3399999999999999,1.94
b,c,1.3399999999999999,1.9500000000000002
b,c,1.3399999999999999,1.96
b,c,1.3399999999999999,1.9700000000000002
b,c,1.3399999999999999,1.98
b,c,1.3399999999999999,1.9900000000000002
b,c,1.3399999999999999,2.0
b,c,1.35,1.37
b,c,1.35,1.38
b,c,1.35,1.3900000000000001
b,c,1.35,1.4
b,c,1.35,1.4100000000000001
b,c,1.35,1.42
b,c,1.35,1.4300000000000002
b,c,1.35,1.44
