Longitude,Latitude,Basin,Distance [m],Elevation [m],Slope,Area [m2],chi,ksn,Bankfull channel w [m],Bankfull flow d [m],omega [W/m2],HS angle [deg],Rock
140.742,37.0607,Basin 5,2060,525.9,0.1175,462830,3.1827,60.63,4.75,0.7,185,32.2,Granite
140.7418,37.0609,Basin 5,2095,531.4,0.1681,426493,3.2841,59.59,3.55,0.45,81,30,Granite
140.7414,37.0614,Basin 5,2170,540.4,0.1727,406392,3.4288,67.72,2.9,0.4,56,30.6,Granite
140.7413,37.062,Basin 5,2235,540.4,0.1857,406392,3.4288,67.72,3,0.6,155,30.4,Granite
140.7414,37.0626,Basin 5,2305,540.4,0.1857,406392,3.4288,67.72,2.5,0.5,90,29.9,Granite
140.781,37.0227,Basin 6,315,208.4,0.1417,3705826,0.3457,156.58,9,0.65,266,38.9,Meta
140.7817,37.0231,Basin 6,430,234.5,0.237,3647566,0.4735,232.52,4.05,0.95,701,44.6,Meta
140.7815,37.0236,Basin 6,500,248,0.2533,3637848,0.5516,95.74,4.1,0.8,533,45.9,Meta
140.7815,37.0239,Basin 6,535,249.8,0.1692,3606815,0.5907,48.22,6.8,0.6,235,42.8,Meta
140.7815,37.0242,Basin 6,565,250.5,0.0749,3517421,0.6242,50.25,6.15,0.55,72,34.6,Meta
140.7815,37.0248,Basin 6,655,258.1,0.048,3035295,0.7307,81.12,5,1.1,190,35.6,Meta
140.7814,37.0251,Basin 6,690,261.7,0.0794,3023726,0.7731,88.44,4.5,0.95,225,37.1,Meta
140.7811,37.0254,Basin 6,730,265.9,0.1022,3010675,0.8217,105.53,7.6,0.8,289,38.9,Meta
140.7809,37.0259,Basin 6,795,275.9,0.126,2994725,0.9007,135.75,3.8,0.95,323,39.3,Meta
140.7806,37.0265,Basin 6,870,290.2,0.1831,2954578,0.9924,143.62,3.95,0.7,267,41,Meta
140.7803,37.0268,Basin 6,935,298.8,0.1831,2939669,1.0721,67.75,3.2,0.65,191,40.2,Meta
140.78,37.0268,Basin 6,970,300.7,0.1656,2920487,1.1151,63.65,3.7,0.85,342,36.4,Meta
140.7796,37.0268,Basin 6,1000,302.9,0.1022,2895276,1.1522,59.37,5.3,1.1,471,33,Meta
140.7792,37.0266,Basin 6,1065,307.1,0.069,2852881,1.2329,33.94,9.1,0.8,203,36.5,Meta
140.779,37.0268,Basin 6,1110,308.3,0.069,2844813,1.289,27.2,6.9,0.45,41,36.9,Meta
140.779,37.0271,Basin 6,1135,309.1,0.0558,2838390,1.3202,30.76,6.8,0.9,182,36.2,Meta
140.7791,37.0274,Basin 6,1190,311.4,0.033,2823057,1.3889,52.02,9.2,1.1,195,37.3,Meta
140.779,37.0276,Basin 6,1225,314.7,0.0353,2812318,1.4327,66.66,5.5,0.95,106,41.6,Meta
140.7788,37.0279,Basin 6,1250,316.8,0.0353,2790491,1.4641,74.03,4.7,1.1,127,39.7,Meta
140.7786,37.0282,Basin 6,1290,320.2,0.06,2736660,1.5145,81.25,4.55,0.85,130,35.8,Meta
140.7785,37.0286,Basin 6,1355,327.9,0.085,2699544,1.5973,86.36,6.45,1.1,449,33.4,Meta
140.7785,37.0289,Basin 6,1380,330.3,0.1025,2689893,1.6292,90.06,7.4,1.1,613,34.9,Meta
140.7787,37.0291,Basin 6,1430,336.4,0.1025,2670595,1.6932,91.69,7.15,0.85,326,36.5,Meta
140.7787,37.0294,Basin 6,1470,340.9,0.1094,2539509,1.7452,88.79,7.45,1.3,969,36.5,Meta
140.7784,37.0299,Basin 6,1530,347.8,0.112,2442749,1.8246,105.12,7.05,1.35,1034,35.9,Meta
140.7785,37.0305,Basin 6,1605,361.4,0.1168,2171135,1.9266,159.6,6.7,0.9,416,37,Meta
140.7791,37.0309,Basin 6,1670,378.6,0.1481,1912735,2.0223,149.37,6.8,1.1,875,37.7,Meta
140.7793,37.031,Basin 6,1690,383,0.1481,1910330,2.0521,133.11,6.7,1.3,1252,37.5,Meta
140.7795,37.0311,Basin 6,1705,385.2,0.2179,1907579,2.0745,119.34,4.5,0.75,420,37,Meta
140.7796,37.0313,Basin 6,1760,392.8,0.2179,1894636,2.1567,86.1,6.2,0.9,800,36.9,Meta
140.7795,37.0316,Basin 6,1810,398.8,0.2479,1880546,2.2317,82.14,5.75,1.2,1655,35.9,Meta
140.7795,37.0318,Basin 6,1830,401.2,0.2097,1875352,2.2617,84.05,6.8,1,1042,35,Meta
140.7796,37.0322,Basin 6,1870,406.6,0.1497,1867302,2.3219,84.66,7.7,0.9,599,31.7,Meta
140.7796,37.0325,Basin 6,1920,412.9,0.1497,1854424,2.3973,76.8,6.4,1.25,1120,26,Meta
140.7794,37.0328,Basin 6,1965,417.6,0.1211,1790204,2.466,70.53,6.55,1.5,1322,28.6,Meta
140.7793,37.0331,Basin 6,2000,421.1,0.125,1711504,2.5201,71.48,4.6,1.2,617,28.2,Meta
140.7795,37.0333,Basin 6,2025,424.1,0.125,1704396,2.5593,73.43,8.1,0.9,502,27.1,Meta
140.7797,37.0337,Basin 6,2085,431.1,0.1229,1683874,2.6537,67.83,6.5,0.75,279,27.9,Meta
140.7797,37.034,Basin 6,2130,435.6,0.1102,1633421,2.7252,65.88,4.7,1,377,24,Meta
140.7796,37.0342,Basin 6,2150,437.4,0.1085,1605055,2.7571,66.25,7.4,1.15,724,25.2,Meta
140.7796,37.0345,Basin 6,2190,442.2,0.1085,1579838,2.822,67.28,6.9,0.7,211,26.4,Meta
140.7796,37.0349,Basin 6,2235,447.1,0.1124,1566337,2.8952,67.74,6.15,1,480,26,Meta
140.7796,37.0352,Basin 6,2265,450.5,0.1077,1557654,2.9442,75.82,6.8,0.85,334,27.7,Meta
140.7798,37.0356,Basin 6,2330,459.6,0.1045,1532891,3.0508,87.58,7.5,0.95,448,29.6,Meta
140.7802,37.0361,Basin 6,2405,469,0.1096,1509253,3.1747,53.47,8.65,0.7,237,23.9,Meta
140.7803,37.0364,Basin 6,2435,471.1,0.1156,1490278,3.2246,38.88,7.8,0.95,513,23.5,Meta
140.7803,37.0368,Basin 6,2490,473.8,0.1395,1462417,3.3167,18.75,5.6,0.65,209,23.8,Meta
140.7803,37.0377,Basin 6,2590,474.9,0.1068,1425710,3.4857,7.89,7.4,0.65,178,25.1,Meta
140.7802,37.0381,Basin 6,2650,476,0.0621,1405778,3.5881,11.29,8.2,0.65,101,23.3,Meta
140.7798,37.0385,Basin 6,2710,477.1,0.0244,1381998,3.6913,11.2,5.8,0.55,20,21.2,Meta
140.7796,37.0387,Basin 6,2740,477.7,0.0244,1364835,3.7432,10.49,5,0.85,51,20.6,Meta
140.7794,37.0391,Basin 6,2785,478.5,0.0084,1322845,3.8216,11.6,3.9,0.65,7,19.9,Meta
140.7793,37.0393,Basin 6,2810,478.9,0.0118,1296124,3.8656,13.92,4.3,0.7,13,19.4,Meta
140.7792,37.0396,Basin 6,2845,479.8,0.0172,1273145,3.9282,24.85,3.7,0.7,18,19,Meta
140.779,37.0399,Basin 6,2895,483.3,0.0187,1260645,4.018,35.57,4.2,0.55,12,18.6,Meta
140.7787,37.0403,Basin 6,2945,486.2,0.0175,1226476,4.1081,22.67,3.7,0.55,10,16.5,Meta
140.7783,37.0405,Basin 6,2995,487.6,0.0175,1161782,4.2007,13.28,3.5,0.45,6,11.7,Meta
140.7779,37.041,Basin 6,3085,488.9,0.0477,1096188,4.3711,4.94,3.8,0.55,33,10,Meta
140.7778,37.0414,Basin 6,3115,489.1,0.0615,1075931,4.4287,3.7,6.2,0.55,58,11.5,Meta
140.7778,37.0416,Basin 6,3140,489.3,0.0615,1039953,4.4773,3.08,3.9,0.65,65,11.3,Meta
140.7776,37.0418,Basin 6,3170,489.4,0.0465,1001841,4.5363,2.49,4.3,0.5,27,10.1,Meta
140.7773,37.0421,Basin 6,3215,489.6,0.0236,968238,4.6271,2.44,4.6,0.6,21,10.9,Meta
140.7773,37.0425,Basin 6,3280,490,0.012,854081,4.7611,6.26,3.9,0.55,7,9.5,Meta
140.7771,37.0427,Basin 6,3305,490.3,0.012,727268,4.8144,9.17,3.8,0.5,6,9.7,Meta
140.777,37.0429,Basin 6,3345,491.6,0.007,531215,4.9184,12.92,3.8,0.55,4,9.9,Meta
140.7767,37.0432,Basin 6,3370,492.6,0.0038,440307,4.9875,14.46,3.7,0.5,1,10,Meta
140.7765,37.0434,Basin 6,3430,495.1,0.0038,434658,5.1612,12.33,3.5,0.4,1,12.1,Meta
140.7755,37.0443,Basin 6,3580,499.2,0.024,389898,5.6039,10.1,2.5,0.3,3,17.6,Meta
